userName,score,at,EnglishTranslation,BERT_Sentiment
Pengguna Google,1,2025-03-15 13:05:26,"['shopee', 'quality', 'good', 'bad', 'send', 'system', 'specially', 'expedition', 'shopee', 'express', 'express', 'loyal', 'pack', 'packet', 'x', 'report', 'task', 'task', 'dir', 'dir', 'wor', 'wor', 's', 'forward', 's', 'rir', 's', 'por', 'por', 'le', 'rest', 'resent', 're', 're', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'g', '",Positive
Pengguna Google,4,2025-03-16 04:29:12,"['apk', 'shop', 'empty', 'agam', 'choke', 'trust', 'trust', 'voucher', 'at times', 'dongkos', 'send', 'mahal', 'promo', 'pulent', 'devent', 'transparan', 'flash', 'sule', 'date', 'state', 'people', 'flash', 'sah', 'sal', 'ter', 'till', 'ent', 'ent', 'ab', 'mi', 'mix', 'mis', 'bit', 'tor', 'tor', 'tok', 's', 's', 's', 'salple', 's', '",Negative
Pengguna Google,1,2025-03-15 14:16:55,"['pay', 'electric', 'pay', 'write', 'singing', 'fits', 'fits', 'wait', 'wait', 'minutes', 'hours', 'minutes', 'gimana', 'na', 'n', 'n addition', 'winet', 'g', 'ms', 'ping', 'low, 'super', 'pang', 'pen', 'ver', 'ser', 'shop', 'bad']",Negative
Pengguna Google,1,2025-03-15 05:13:35,"['open', 'direct', 'directin', 'live', 'video', 'like', 'mode', 'like', 'see', 'live', 'live', 'video', 'gail', 'terrible', 'banget', 'move', 'ignor', 'profile', 'close', 'checkout', 'close', 'application', 'aple', 'males', 'checkout', 'new', ', 'change', 'install', 'install', 'man', 'us', 'shop', 'us'",Negative
Pengguna Google,1,2025-03-15 08:03:40,"['application', 'ga', 'hp', 'ku', 'restart', 'return', 'data', 'miss', 'pas', 'verin', 'login', 'shoope', 'email', 'egh', 'tah', 'password', 'in', 'verb', 'ga', 'verb', 'face', 'face', 'loopin', 'lologin', 'i', 'loopin', 'pan', 'pan', 'safe', 'se', 'vert', 's', 'ga', 'ga', 'ga', 'ga', 'in', 'suruh', 'in', 'pass', 'pass', 'pass', 'pass',",Negative
Pengguna Google,2,2025-03-15 08:13:43,"['ken', 'shoping', 'wearing', 'shoopey', 'goods', 'limited', 'losed', 'staying', 'hours', 'pay', 'gepey', 'ga', 'tah', 'wifi', 'sat', 'fit', 'fits', 'fit', 'fitpepe', 'limpepe', 'limit', 'al', 'st', 'sal', 'd' stay, 'night', 'h', 'go home', 't', 'home', 'at', 'at', 'at', 't', 't', 'tawa', 't', 't', 't', 'taware',',",Negative
Pengguna Google,5,2025-03-15 11:22:43,"['help', 'woman', 'males', 'shoping', 'eheheh', 'shopee', 'shopee', 'stay', 'sung', 'bung', 'k', 'g', 'g', 'byak', 'disk', 'promo', 'free', 'regist', 'k', 'g', 'k', 'k', 'toko', 'g', 'amah', 'han', 'shop', 'mok', 'moga', 'llu'",Negative
Pengguna Google,1,2025-03-15 10:55:47,"['open', 'application', 'shopee', 'automatic', 'section', 'live', 'disruptions', 'banget', 'use', 'use', 'use', 'tribute', 'distribute', 'people', 'application', 'freak', 'choice', 'option', 'option', 'help', 'enter', 'include', 'do', 'open', 'open', 'application'",Negative
Pengguna Google,5,2025-03-15 08:14:08,"['shopee', 'good', 'bgt', 'ga', 'champla', 'soft', 'aja', 'freetis', 'klak', 'cashback', 'disk', 'klau', 'tidk', 'match', 'turk', 'klak', 'klau', 'pay', 'dep', 'debit', 'sap', 'klau', 'batin', 'money', 'in', 'money', ']",Positive
Pengguna Google,1,2025-03-13 15:01:27,"['transaction', 'batal', 'system', 'me', 'transaction', 'total', 'maja', 'no', 'no', 'no', 'cut', 'me', 'me', 'transaction', 'total', 'total', 'million', 'gay', 'gair', 'checkout', 'good', 'pay', 'hours', 'have', 'after', 'me', 'fail', 'trans', 'months', 'trans', 'tries', 'tho', 't', 't'",Negative
